Name,MAE,RMSE,MAPE,SMAPE
3_34,4.769,6.022,16.2,15.7
3_35,6.76,9.169,8.9,9.0
3_36,8.168,10.137,9.4,9.3
3_37,4.95,6.191,15.8,15.0
3_38,8.906,11.737,9.2,9.2
3_39,6.36,8.108,13.0,12.5
3_40,5.988,7.448,21.0,18.099999999999998
3_41,3.894,4.968,16.6,15.4
3_42,6.333,7.803,14.799999999999999,14.399999999999999
3_43,6.851,8.378,12.0,11.799999999999999
3_44,4.94,6.168,15.0,14.399999999999999
3_45,9.919,12.983,10.8,10.5
3_46,6.3,8.202,9.1,9.3
3_47,4.28,5.224,17.2,16.6
3_48,6.736,8.979,11.700000000000001,11.4
3_49,4.06,5.259,12.6,12.1
3_50,7.522,9.509,10.100000000000001,10.0
4_1,4.137,5.072,19.2,18.0
4_2,7.41,8.956,12.2,11.899999999999999
4_3,5.309,6.92,14.799999999999999,14.000000000000002
4_4,4.584,5.566,19.900000000000002,19.3
4_5,3.824,4.943,21.7,19.8
4_6,6.943,8.861,11.200000000000001,11.0
4_7,7.647,9.458,12.3,11.899999999999999
4_8,7.806,9.725,9.5,9.4
4_9,6.868,8.689,12.0,12.3
4_10,8.9,11.217,11.3,11.4
4_11,8.408,10.571,11.0,11.4
4_12,8.052,10.458,10.9,10.9
4_13,7.987,9.972,9.1,9.1
4_14,6.309,8.102,10.100000000000001,10.0
4_15,9.318,11.696,9.3,9.5
